title,description,project_id,start_date,duration,keywords,amount_sought,amount_collected,percent_collected,category,category_url,clickthrough_url,image_url,is_indemand,product_stage,source_url
Con Man,A new comedy from Alan Tudyk and Nathan Fillion produced by YOU!,1143140,2015-03-10 14:48:01,31,other,42956048.8300101,3156178,7.347458823529,Web Series & TV Shows,/explore/web-series-tv-shows,/projects/con-man,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/fxniv9n1jtye9da7gyhq.jpg",false,null,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
Geek Pulse DAC: High-Rez Desktop DAC System,"A performance high-res DAC dreamed up by us, made real by you, and celebrated by audiophiles.",569574,2013-10-28 23:50:18,60,other,9714150.62921868,3001353,30.896710526316,Audio,/explore/audio,/projects/geek-pulse-dac-high-rez-desktop-dac-system,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/gfoogqqb2ns0aqp1j2nw.jpg",false,null,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
Prepd Pack - The Lunchbox Reimagined,"An intelligently designed, beautifully crafted lunchbox and smart lunch recipe app.",1643399,2016-02-24 23:59:59,30,apps design,5090982.33754755,2930569,57.56392,Food & Beverages,/explore/food-beverages,/projects/prepd-pack-the-lunchbox-reimagined,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/xkppafucmgidfwlizldh.jpg",false,null,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
TicPods Free: most interactive wireless earbuds,"Designed for life on the move, TicPods Free ensures your audio is clear and under your control.",2355841,2018-04-17 9:58:41,60,earbuds wireless bluetooth headphones design,5313026.53464283,2849951,53.64082,Audio,/explore/audio,/projects/ticpods-free-most-interactive-wireless-earbuds,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/i6ashvmrwo8rytymgq0t.jpg",false,production,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
Opal Nugget Ice Maker,"Finally, an affordable nugget ice maker for your home.",1356689,2015-07-27 20:09:50,30,other,16307593.7770825,2768650,16.977673333333,Food & Beverages,/explore/food-beverages,/projects/opal-nugget-ice-maker,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/jt0hndrmzyvmj6vv3hld.jpg",false,null,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
Opal Nugget Ice Maker,"Finally, an affordable nugget ice maker for your home.",1356689,2015-07-27 20:09:50,30,other,16307593.7770825,2768650,16.977673333333,Food & Beverages,/explore/food-beverages,/projects/opal-nugget-ice-maker,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/jt0hndrmzyvmj6vv3hld.jpg",false,null,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
The Everlast Notebook,"One smart, reusable notebook to last the rest of your life?
That's not magic, that's the Everlast.",2006026,2017-01-13 23:59:59,30,other,3945464.38814258,2766722,70.124115384615,Productivity,/explore/productivity,/projects/the-everlast-notebook,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/jzzoq9q6brrxyccneeab.jpg",false,prototype,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
Air: Acoustically Stunning Wireless Headphones,"Audiophile Hi-Fi Sound , Bluetooth 4.2, Single Button Control, In-Ear Mic with Portable Charging Pod",1892364,2016-11-01 5:21:39,58,earbuds headphones,5001225.89822433,2757838,55.14324,Audio,/explore/audio,/projects/air-acoustically-stunning-wireless-headphones,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/fpqztkkzkcppffeup9u8.jpg",false,production,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
ZUNGLE : Wear the Beats,Sunglasses with bone conduction speakers enables to transmit sound waves to the skull via vibrations,1842503,2016-07-27 23:59:59,30,sunglasses speakers headphones,7018225.14746782,2732946,38.9407,Audio,/explore/audio,/projects/zungle-wear-the-beats--4,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/zqrqs1bucjceywccud3s.jpg",false,production,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
Revols,Bluetooth earphones with tips that mold to the unique shape of your ears in 60 seconds.,1578701,2016-01-06 23:59:59,30,bluetooth,10563602.3385897,2673390,25.30756,Audio,/explore/audio,/projects/revols,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/nfxh5c3o37d9tkinlrcg.jpg",false,null,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
Gosnell Movie,A historic crowdfunding campaign for a movie about America's biggest serial killer Kermit Gosnell.,731457,2014-03-28 13:37:20,45,other,222800664.690573,2377647,1.067163333333,Film,/explore/film,/projects/gosnell-movie,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/aqsi0ssfoflcwpzg9ljv.jpg",false,null,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
"Kapsul: Cool, redefined.",Kapsul is the first window air conditioner designed entirely with you in mind.,1784641,2016-06-02 23:59:59,30,iot design smart home,39410864.2130103,2313413,5.869988,Home,/explore/home,/projects/kapsul-cool-redefined,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/kjdqdhrszodv5c6eyp0h.jpg",false,null,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
PlexiDrone-Rugged-Drone-DreamQii,"Rugged, Ultra-Portable, Snap-together in 1 Minute, Capture Stunning Aerial Film & Photos with Ease!",921007,2014-10-01 6:01:19,60,drones,22651192.9230183,2269158,10.01783,Camera Gear,/explore/camera-gear,/projects/plexidrone-rugged-drone-dreamqii,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/mxeixe4uwiytjhuwzz7d.jpg",false,production,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
Sgnl - Make Phone Calls with Your Fingertip,Sgnl is the smart strap that enables you to make calls by placing your fingertip on your ear.,1893939,2016-10-09 23:59:59,30,watches,7537282.14363988,2214758,29.38404,Fashion & Wearables,/explore/fashion-wearables,/projects/sgnl-make-phone-calls-with-your-fingertip,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/z5vsy7trogzqxvfy4zlv.jpg",false,null,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
Hi-Tech Heels & Flats Feel Like Sneakers Inside,"Shoes with hidden technology, customized fit, superior cushion + construction.",2204792,2017-09-03 23:59:59,30,design,5776647.95304148,2132408,36.91428,Fashion & Wearables,/explore/fashion-wearables,/projects/hi-tech-heels-flats-feel-like-sneakers-inside,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/xf7vla40va6lacp0rody.jpg",false,prototype,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
Phazon : Wireless Earbuds Guaranteed Not to Fall,Introducing the World's First One Size Fits All Wireless Earbuds.,1531028,2015-11-18 3:39:06,60,wireless earbuds headphones sports,11688448.9885606,2121078,18.1467875,Audio,/explore/audio,/projects/phazon-wireless-earbuds-guaranteed-not-to-fall,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/pifpxppmj9memlc44h8v.jpg",false,prototype,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
Ximalaya: Wireless Noise-Cancelling Headphones,No Noise - No Wires - Just Sound.  Anywhere You Go.,1955307,2016-12-26 23:59:59,30,headphones,11179117.9988978,2079288,18.59975,Audio,/explore/audio,/projects/ximalaya-wireless-noise-cancelling-headphones,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/kjeekxce19pm6jjd6xx1.jpg",false,prototype,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
PAKT One: The Only Travel Bag You’ll Ever Want,"Lightweight. Durable. Stylish. Organized. Travelers, meet your new sidekick.",2229521,2017-11-07 1:36:35,60,luggage bags design,8360909.22772931,2066586,24.71724,Travel & Outdoors,/explore/travel-outdoors,/projects/pakt-one-the-only-travel-bag-you-ll-ever-want,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/nxvq4xk15ek8sucq55iu.jpg",false,shipping,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
Pico C - Craft Brewing For All,"Craft Beer Your Way - Easier, More Affordable, More Fun!",2114635,2017-05-11 23:59:59,30,beer design,37303528.8709075,2054057,5.506334285714,Food & Beverages,/explore/food-beverages,/projects/pico-c-craft-brewing-for-all,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/fliebt3ajtiojgvw8vi7.jpg",false,prototype,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
MODIUS: The Smarter Way to Lose Weight,The headset that uses neuro-technology to make weight loss easier,2048036,2017-08-07 16:10:57,60,other,6550045.09031943,2029352,30.98226,Health & Fitness,/explore/health-fitness,/projects/modius-the-smarter-way-to-lose-weight,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/uhd3ov77xoz4eue8905d.jpg",false,shipping,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
Bluesmart Series 2: Smart Luggage System,"Four Smart Products. GPS Tracking, Supercharger, Digital Lock, Smart Weight Sensors, Trip App.",2125241,2017-06-27 0:04:29,60,luggage,5300932.88644748,2023805,38.17828,Travel & Outdoors,/explore/travel-outdoors,/projects/bluesmart-series-2-smart-luggage-system,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/oa3dy2zir4atlddfxwex.jpg",false,production,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
Indivisible - RPG from the Creators of Skullgirls,Indivisible - A 2D Action RPG from Lab Zero PS4/XB1/Win/Mac/Linux,1383172,2015-10-05 5:59:39,60,other,161806413.161414,2009010,1.241613333333,Video Games,/explore/video-games,/projects/indivisible-rpg-from-the-creators-of-skullgirls,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/jlcxf8afxuw1kzz82opb.jpg",false,null,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
"Airing: the first hoseless, maskless, micro-CPAP",Our mission: a breakthrough technology to treat sleep apnea that people will actually use.,1271371,2015-06-15 5:39:09,30,sleep,21730242.9202216,1946882,8.95932,Health & Fitness,/explore/health-fitness,/projects/airing-the-first-hoseless-maskless-micro-cpap,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/nalf8kim0psw3su9iwzk.jpg",false,concept,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
Nura: Headphones as unique as your hearing,Pre-order now at nuraphone.com,1821967,2016-07-12 23:59:59,30,headphones design,10632969.8423715,1918175,18.03988,Audio,/explore/audio,/projects/nura-headphones-as-unique-as-your-hearing-design,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/qhk2jrjhl7okibjijbjf.jpg",false,null,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
Bagel: The World's Smartest Tape Measure,"Bagel is a smart tape measure that helps you measure, organize, and analyze any size measurements.",1835207,2016-08-01 23:59:59,30,other,4236332.89456773,1911713,45.1266,Home,/explore/home,/projects/bagel-the-world-s-smartest-tape-measure--4,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/osbzu6tqnlewhgmyoo24.jpg",false,production,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
Kuroi Hana Knife Collection - Japanese Steel,Kuroi Hana is the fusion of London design with premium Japanese AUS-10 steel.,2136415,2017-07-11 23:59:59,30,other,2805920.57430183,1906476,67.94476,Home,/explore/home,/projects/kuroi-hana-knife-collection-japanese-steel,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/hnkxnjikc7d4pfom67aa.jpg",false,prototype,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
GPD Pocket2: 7.0' UMPC-Laptop 'WIN 10 OS',Introducing ultra sleek 7-inch 'GPD Pocket 2' that fits in your pocket! 4GB / 8GB RAM & 128GB ROM,2395061,2018-07-29 18:56:44,45,laptops pc,10000000,1893500,18.935,Productivity,/explore/productivity,/projects/gpd-pocket2-7-0-umpc-laptop-win-10-os,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/pq0luvaa28is2zjvjihl.jpg",false,prototype,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
Muzo - State of the Art Vibration Monitoring Sys.,Turns almost everything into an acoustic environment with its own speed of sound. Meet Muzo.,1821077,2016-07-13 23:59:59,30,sleep,35053016.3366913,1867155,5.32666,Home,/explore/home,/projects/muzo-state-of-the-art-vibration-monitoring-sys,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/x6zhdzitywn7yf1uo8uv.jpg",false,null,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
Barracuda,Barracuda: Collapsible Luggage + Built-in Laptop Tray + GPS + Proximity Sensor + USB Charger,1429083,2015-09-16 23:59:59,30,luggage,2853732.00598616,1786753,62.6111,Travel & Outdoors,/explore/travel-outdoors,/projects/barracuda,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/wsqatgoofan2nf9piyyp.jpg",false,shipping,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
SpineGym - Strong Back and Abs for life,"Perfect back, abs & straight posture with a 4 minute standing exercise at home or office",1760049,2016-05-13 23:59:59,30,other,19185197.7172217,1780371,9.27992,Health & Fitness,/explore/health-fitness,/projects/spinegym-strong-back-and-abs-for-life,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/sqwupl5unfgzzx66c4ik.jpg",false,prototype,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
ISOLATE MiNi - Switch off your ears,Revolutionary solid titanium ear protectors that isolate you from noise like never before.,1829814,2016-08-14 15:37:36,42,other,8572537.06539739,1762133,20.55556,Audio,/explore/audio,/projects/isolate-mini-switch-off-your-ears--2,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/hwzyrro2xb85ropfdzbr.jpg",false,null,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
The Most REBELLIOUS Swiss Automatic Watch Ever,"The Rebel, a SWISS MADE Automatic Chronograph timepiece, LIMITED EDITION by LIV Watches.",2077613,2017-03-28 23:59:59,30,watches,3060536.50595044,1738297,56.797133333333,Fashion & Wearables,/explore/fashion-wearables,/projects/the-most-rebellious-swiss-automatic-watch-ever-watches,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/zbpk9q8qau1fkblfvxas.jpg",false,prototype,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
FLX: Electric Bikes with Attitude,"High performance mid-motor. Powerful battery. 3 models to dominate any terrain. Called ""Best eBike""",1628084,2016-03-29 5:59:26,60,bikes bikes,5343014.87668537,1711295,32.02864,Transportation,/explore/transportation,/projects/flx-electric-bikes-with-attitude,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/mhiquis9txb7ae0jnrq2.jpg",false,null,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
FLX: Electric Bikes with Attitude,"High performance mid-motor. Powerful battery. 3 models to dominate any terrain. Called ""Best eBike""",1628084,2016-03-29 5:59:26,60,bikes bikes,5343014.87668537,1711295,32.02864,Transportation,/explore/transportation,/projects/flx-electric-bikes-with-attitude,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/mhiquis9txb7ae0jnrq2.jpg",false,null,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
"Jelly, The Smallest 4G Smartphone",Amazingly small but powered with the latest Android 7.0 Nougat features.,2132970,2017-06-04 23:59:59,30,smart phones,4102137.64004536,1711111,41.712666666667,Phones & Accessories,/explore/phones-accessories,/projects/jelly-the-smallest-4g-smartphone,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ml2cubih4uk6vaqosuzm.jpg",false,prototype,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
Ritot - the first projection watch.,"Inspired by future technologies we wanted to create a completely different, original timepiece.",777768,2014-07-07 0:02:57,81,other,5988498.11988498,1678588,28.0302,Fashion & Wearables,/explore/fashion-wearables,/projects/ritot-the-first-projection-watch,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/uupaeln6orp1nney7pe7.jpg",false,null,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
Geek Wave: A No-compromise Portable Music Player,"Geek Wave is a high performance portable music player, made for discerning ears.",712200,2014-05-13 9:23:20,60,other,4787200.07020458,1665254,34.785552631579,Music,/explore/music,/projects/geek-wave-a-no-compromise-portable-music-player,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/l100m1ymbe8pwpbiehgq.jpg",false,null,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
Scanadu Scout,Scanadu Scout,398294,2013-05-22 4:57:43,59,other,10000000,1661988,16.61988,Health & Fitness,/explore/health-fitness,/projects/scanadu-scout,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/fnuhomjmpvh23jtkkjym.jpg",false,null,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
Smartwatch Powered by You - MATRIX PowerWatch,The World's First Smartwatch You Never Have to Charge,1946944,2016-11-14 5:47:12,60,smart watches watches,17538473.5068038,1645763,9.38373,Fashion & Wearables,/explore/fashion-wearables,/projects/smartwatch-powered-by-you-matrix-powerwatch--2,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/porrnlyltxd6wnkny9oo.jpg",false,prototype,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
ANTELOPE Sportswear: Muscle Activating Smartsuit,"ANTELOPE helps you to reach your fitness goals faster than ever, making each workout more effective.",1386380,2015-10-13 1:09:03,60,other,19440780.2168268,1630379,8.386386666667,Health & Fitness,/explore/health-fitness,/projects/antelope-sportswear-muscle-activating-smartsuit,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/pnla73lxua7zgclezqti.jpg",false,null,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
8-in-1 EVOLUTION BRA The World's Most Advanced Bra,"The most comfortable, versatile, and advanced bra. Wire free, odorless, quick dry & reversible.",1504828,2015-11-01 23:59:59,30,underwear yoga,4378174.71771494,1612886,36.839233333333,Fashion & Wearables,/explore/fashion-wearables,/projects/8-in-1-evolution-bra-the-world-s-most-advanced-bra,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/g3yjbgsdjkdm6fx7qpkt.jpg",false,production,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
LARQ Bottle - World's First Self-Cleaning Bottle,No more stinky water bottles.,2281973,2017-12-05 23:59:59,30,sports,3468095.46578982,1588412,45.8007,Health & Fitness,/explore/health-fitness,/projects/larq-bottle-world-s-first-self-cleaning-bottle,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/kkslirnwzyohdrl1tgfv.jpg",false,prototype,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
